epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,3771.75,1.26142,0.73569,0.91355,1,0.1805,0.55774,0.28218,2.13642,3.31718,1.12287,0.000973861,0.000973861,0.000973861
44,3862.48,1.24377,0.69884,0.89281,0.86138,0.26732,0.51091,0.26832,2.11977,3.37692,1.11773,0.000957358,0.000957358,0.000957358
45,3952.36,1.22614,0.72022,0.8915,0.8034,0.2,0.41603,0.22901,2.28631,3.34851,1.14579,0.000940855,0.000940855,0.000940855
46,4042.62,1.12,0.68986,0.89184,1,0.29733,0.61484,0.26663,2.07135,3.05903,1.12738,0.000924352,0.000924352,0.000924352
47,4133.36,1.1848,0.65928,0.88963,0.85695,0.3,0.62164,0.2783,2.12063,2.91171,1.12247,0.000907848,0.000907848,0.000907848
48,4223.59,1.17476,0.70488,0.88196,0.84163,0.2,0.55202,0.27454,2.09576,2.68758,1.12149,0.000891345,0.000891345,0.000891345
49,4312.98,1.1576,0.65581,0.87792,0.88285,0.3314,0.66837,0.31774,2.13592,2.73737,1.10176,0.000874842,0.000874842,0.000874842
50,4403.08,1.17323,0.67144,0.87959,0.96202,0.3,0.72429,0.33745,2.08865,2.70555,1.12145,0.000858338,0.000858338,0.000858338
51,4490.9,1.16884,0.65704,0.88439,0.7872,0.3,0.58601,0.32015,2.093,2.8176,1.09532,0.000841835,0.000841835,0.000841835
52,4580.72,1.2179,0.66511,0.88474,0.94526,0.2,0.57036,0.28489,2.06583,2.67663,1.08624,0.000825332,0.000825332,0.000825332
53,4675.28,1.18963,0.63409,0.89971,0.87793,0.4,0.64549,0.3113,1.91045,2.7005,1.08805,0.000808828,0.000808828,0.000808828
54,4770.61,1.12226,0.62603,0.89518,0.92753,0.4,0.59409,0.2676,2.03438,2.75434,1.09829,0.000792325,0.000792325,0.000792325
55,4866.37,1.18258,0.62715,0.87646,0.94996,0.4,0.59528,0.23395,2.08012,2.75117,1.10699,0.000775822,0.000775822,0.000775822
